Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"27,28,26",Penis; Prostate; Testis,434,Libya,0,1,189,2045,592,403,213.2275,0
"27,28,26",Penis; Prostate; Testis,434,Libya,0,1,189,2050,776,587,310.582,0
"27,28,26",Penis; Prostate; Testis,450,Madagascar,0,1,1418,2022,1418,0,0,0
"27,28,26",Penis; Prostate; Testis,450,Madagascar,0,1,1418,2025,1655,237,16.7137,0
"27,28,26",Penis; Prostate; Testis,450,Madagascar,0,1,1418,2030,2096,678,47.8138,0
"27,28,26",Penis; Prostate; Testis,450,Madagascar,0,1,1418,2035,2617,1199,84.5557,0
"27,28,26",Penis; Prostate; Testis,450,Madagascar,0,1,1418,2040,3205,1787,126.0226,0
"27,28,26",Penis; Prostate; Testis,450,Madagascar,0,1,1418,2045,3868,2450,172.7786,0
"27,28,26",Penis; Prostate; Testis,450,Madagascar,0,1,1418,2050,4629,3211,226.4457,0
"27,28,26",Penis; Prostate; Testis,454,Malawi,0,1,622,2022,622,0,0,0
"27,28,26",Penis; Prostate; Testis,454,Malawi,0,1,622,2025,673,51,8.1994,0
"27,28,26",Penis; Prostate; Testis,454,Malawi,0,1,622,2030,769,147,23.6334,0
"27,28,26",Penis; Prostate; Testis,454,Malawi,0,1,622,2035,926,304,48.8746,0
"27,28,26",Penis; Prostate; Testis,454,Malawi,0,1,622,2040,1152,530,85.209,0
"27,28,26",Penis; Prostate; Testis,454,Malawi,0,1,622,2045,1440,818,131.5113,0
"27,28,26",Penis; Prostate; Testis,454,Malawi,0,1,622,2050,1796,1174,188.746,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2022,439,0,0,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2025,490,51,11.6173,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2030,569,130,29.6128,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2035,681,242,55.1253,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2040,844,405,92.2551,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2045,1065,626,142.5968,0
"27,28,26",Penis; Prostate; Testis,466,Mali,0,1,439,2050,1341,902,205.467,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2022,149,0,0,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2025,163,14,9.396,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2030,191,42,28.1879,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2035,226,77,51.6779,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2040,270,121,81.2081,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2045,323,174,116.7785,0
"27,28,26",Penis; Prostate; Testis,478,Mauritania,0,1,149,2050,390,241,161.745,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2022,119,0,0,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2025,130,11,9.2437,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2030,159,40,33.6134,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2035,193,74,62.1849,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2040,225,106,89.0756,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2045,250,131,110.084,0
"27,28,26",Penis; Prostate; Testis,480,Mauritius,0,1,119,2050,270,151,126.8908,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2022,2067,0,0,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2025,2046,-21,-1.016,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2030,2674,607,29.3662,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2035,3483,1416,68.5051,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2040,4383,2316,112.0464,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2045,5293,3226,156.0716,0
"27,28,26",Penis; Prostate; Testis,504,Morocco,0,1,2067,2050,6279,4212,203.7736,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2022,1121,0,0,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2025,1183,62,5.5308,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2030,1431,310,27.6539,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2035,1747,626,55.843,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2040,2141,1020,90.9902,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2045,2623,1502,133.9875,0
"27,28,26",Penis; Prostate; Testis,508,Mozambique,0,1,1121,2050,3200,2079,185.4594,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2022,151,0,0,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2025,160,9,5.9603,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2030,195,44,29.1391,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2035,233,82,54.3046,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2040,275,124,82.1192,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2045,326,175,115.894,0
"27,28,26",Penis; Prostate; Testis,516,Namibia,0,1,151,2050,383,232,153.6424,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2022,195,0,0,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2025,195,0,0,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2030,245,50,25.641,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2035,302,107,54.8718,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2040,370,175,89.7436,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2045,447,252,129.2308,0
"27,28,26",Penis; Prostate; Testis,562,Niger,0,1,195,2050,544,349,178.9744,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2022,11945,0,0,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2025,14279,2334,19.5396,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2030,16620,4675,39.1377,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2035,19502,7557,63.265,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2040,23015,11070,92.6748,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2045,27178,15233,127.5262,0
"27,28,26",Penis; Prostate; Testis,566,Nigeria,0,1,11945,2050,31972,20027,167.6601,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2022,54,0,0,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2025,61,7,12.963,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2030,72,18,33.3333,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2035,88,34,62.963,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2040,113,59,109.2593,0
